step,mse_R
0,0.0005618336904155484
1,0.0006287935399617778
2,0.000696456090857971
3,0.0007537089381193858
4,0.0008077329283906994
5,0.0008567689335052441
6,0.0009053522729704677
7,0.0009415357552247955
8,0.0009806711234582326
9,0.0010185526688502903
10,0.0010490948702580778
11,0.0010810660888508042
12,0.0011070381832848893
13,0.001133110685081575
14,0.0011691656807306496
15,0.0011967907087616588
16,0.0012157420602056605
17,0.001241957643908931
18,0.0012514362981534905
19,0.00127053169028922
20,0.0012836537417917804
21,0.0012976735701319094
22,0.001319605550042942
23,0.0013290552666510981
24,0.0013545248198022879
25,0.0013669055422678579
26,0.0013942489241984704
27,0.0014080954512883936
28,0.0014171574761608684
29,0.001436829081394085
30,0.0014437239974958156
31,0.001470527008353947
32,0.0014914523206686508
33,0.001493823642459188
34,0.0014992157999526076
35,0.001516380453040703
36,0.0015282220496564965
37,0.001544416115705715
38,0.0015473548268698642
39,0.0015614082572709305
40,0.0015689305234604586
41,0.0015719915374836594
42,0.0015888877383576142
43,0.0015984374119064712
44,0.001619623242896997
45,0.0016209319370282362
46,0.0016279431758104625
47,0.0016307384639773093
48,0.0016389053548153695
49,0.0016423939353561391
50,0.0016529722454721313
51,0.0016542546924070227
52,0.0016553139326127312
53,0.0016616150073228166
54,0.0016707212680377311
55,0.0016772783944869062
56,0.0016977946200184865
57,0.0017003574160337378
58,0.001702514266143992
59,0.001709263462737028
60,0.001716866319943795
61,0.0017259551241302316
62,0.00173471125824398
63,0.0017259763466762794
64,0.001728222946034677
65,0.0017280047690067222
66,0.0017385817821769314
67,0.0017437900526038465
68,0.001767745502861969
69,0.001777220728382974
70,0.0017773754709415708
71,0.0017819146335830626
72,0.001783675978202594
73,0.0017938598337212896
74,0.0017982342504113623
75,0.0018099240188036618
76,0.0018238860588725336
77,0.001832778068896288
78,0.0018521203020956728
79,0.0018566412827717021
80,0.0018658449935126653
81,0.0018872007309962133
82,0.0018940423270326942
83,0.0019002995381988397
84,0.0019136032580176453
85,0.0019141335320124336
86,0.001923533732650992
87,0.0019236049943693822
88,0.0019301207890354596
89,0.0019381321455156312
